date,store,category,unit_price,units_sold
2024-07-19,South,Home & Garden,178.29,5
2024-03-11,Central,Toys,10.97,5
2024-11-13,North,Toys,39.12,3
2024-11-04,West,Toys,41.59,2
2023-08-21,Central,Clothing,71.63,4
2023-06-12,East,Toys,78.1,1
2024-06-14,West,Home & Garden,237.82,5
2024-08-30,Central,Electronics,341.47,3
2024-10-09,North,Groceries,9.19,5
2023-02-23,Central,Home & Garden,299.15,2
2024-05-11,East,Home & Garden,66.96,1
2024-03-31,West,Clothing,33.4,4
2024-03-03,East,Groceries,21.9,1
2023-10-09,Central,Clothing,25.19,2
2023-09-06,west,Groceries,5.15,5
2023-05-25,Central,Electronics,426.99,5
2023-02-25,East,Electronics,368.52,3
2023-10-28,East,Clothing,59.27,5
2024-10-18,South,Home & Garden,223.47,3
2023-09-09,North,Clothing,106.44,4
2024-08-05,South,Clothing,114.7,3
2023-10-14,North,Toys,74.23,1
2024-01-23,North,Electronics,836.17,2
2024-05-03,South,Electronics,772.73,3
2024-03-24,Central,Home & Garden,246.93,3
2024-10-21,North,Clothing,68.28,2
2024-05-10,Central,Clothing,118.14,1
2024-12-10,South,Toys,52.83,3
2023-03-01,West,Electronics,455.92,2
2024-11-23,North,Clothing,36.77,1
2023-02-05,East,Electronics,448.21,3
2023-10-29,East,Toys,51.82,5
2023-01-09,Central,Clothing,72.0,3
2023-05-05,South,Groceries,45.19,2
2024-03-23,East,Groceries,14.8,3
2023-12-01,West,Toys,19.2,1
2023-11-10,North,Home & Garden,178.48,2
2024-09-18,south,Toys,44.87,5
2024-04-13,West,Clothing,78.6,1
2024-05-04,East,Electronics,152.87,3
2023-12-11,West,Home & Garden,53.11,4
2024-05-03,West,Groceries,21.33,3
2023-04-20,East,Groceries,18.81,3
2024-09-13,West,Clothing,29.86,3
2023-12-12,West,Toys,108.56,5
2024-06-26,North,Clothing,99.82,1
2023-11-14,South,Groceries,39.28,2
2024-10-18,Central,Groceries,56.44,1
2024-04-23,south,Toys,49.62,3
2023-04-06,South,Toys,76.6,3
2024-03-07,South,Toys,12.02,4
2024-02-07,Central,Electronics,585.53,5
2024-11-12,South,Home & Garden,218.15,4
2023-09-14,South,Clothing,83.23,4
2024-01-27,East,Toys,74.57,4
2023-12-26,South,Electronics,422.44,3
2024-12-31,North,Home & Garden,243.29,5
2024-06-30,South,Groceries,12.38,1
2024-04-07,north,Clothing,107.56,2
2023-03-31,North,Groceries,53.78,5
2023-09-28,North,Clothing,35.69,5
2024-09-20,Central,Home & Garden,112.94,2
2023-06-14,east,Home & Garden,281.67,4
2023-07-17,West,Electronics,295.92,2
2024-03-07,East,Toys,39.45,2
2023-07-26,West,Toys,48.66,1
2024-03-29,North,Groceries,31.79,3
2024-12-12,West,Clothing,87.13,5
2023-11-01,West,Toys,48.34,4
2023-06-21,West,Home & Garden,143.7,3
2024-10-13,central,Toys,63.89,1
2024-11-13,South,Groceries,42.32,4
2024-05-01,North,Groceries,58.11,5
2023-10-28,central,Toys,58.6,2
2023-03-28,South,Electronics,720.35,2
2024-09-16,East,Groceries,22.34,3
2023-02-08,North,Toys,18.2,5
2024-07-23,Central,Toys,60.38,3
2024-08-22,South,Electronics,715.91,5
2023-12-11,south,Home & Garden,177.72,1
2024-08-25,West,Home & Garden,184.06,1
2023-08-21,East,Toys,37.09,1
2024-11-22,West,Groceries,22.37,5
2023-01-28,South,Clothing,19.66,1
2023-02-24,Central,Toys,39.11,3
2023-03-15,East,Groceries,14.31,5
2023-06-09,east,Electronics,786.55,5
2023-12-22,East,Home & Garden,206.98,4
2023-02-23,Central,Electronics,809.81,1
2023-08-26,Central,Groceries,13.92,1
2023-03-25,South,Electronics,491.34,1
2024-03-14,East,Toys,21.55,5
2023-11-26,East,Toys,69.36,4
2024-06-11,Central,Clothing,111.0,5
2023-05-14,South,Toys,76.52,2
2024-04-29,East,Clothing,94.57,1
2023-07-13,South,Toys,65.76,2
2024-12-19,Central,Home & Garden,62.02,5
2024-10-17,South,Home & Garden,25.79,4
2023-09-21,West,Home & Garden,278.72,5
2024-02-22,South,Electronics,465.11,1
2024-01-05,Central,Home & Garden,35.92,2
2024-01-22,East,Toys,56.71,2
2024-09-08,South,Toys,39.18,4
2023-05-15,North,Home & Garden,213.08,3
2024-01-19,South,Groceries,10.81,4
2024-10-20,Central,Clothing,29.67,5
2023-06-09,Central,Toys,46.1,3
2023-09-18,West,Groceries,40.84,4
2023-04-18,Central,Clothing,79.82,4
2023-03-17,Central,Toys,47.1,1
2023-03-26,South,Electronics,689.97,5
2024-10-23,Central,Groceries,36.03,3
2024-02-19,South,Electronics,778.65,1
2024-10-21,North,Home & Garden,35.51,3
2023-07-01,North,Groceries,27.54,1
2023-04-01,West,Toys,37.41,4
2024-08-19,West,Groceries,18.07,5
2023-06-04,Central,Home & Garden,224.55,1
2023-10-08,North,Toys,74.6,2
2024-07-05,West,Groceries,55.24,3
2024-04-26,East,Clothing,74.73,1
2023-04-20,North,Toys,24.79,4
2024-07-17,East,Toys,45.44,2
2024-11-02,north,Toys,39.92,4
2023-09-22,West,Groceries,27.58,4
2023-09-06,South,Toys,55.27,4
2024-05-29,East,Groceries,22.41,1
2023-07-27,Central,Toys,76.56,1
2024-02-21,Central,Groceries,53.79,1
2023-08-04,South,Groceries,47.47,2
